UnitID,Name,Color,Cost,Rarity,Type,Tribe,Min_HP,Min_ATK,Min_REC,Max_HP,Max_ATK,Max_REC,MaxLvl,Skill Name,Skill Description,CSkill Name,CSkill Description,Ability 1 Name,Ability 1 Description,Ability 2 Name,Ability 2 Description,Ability 3 Name,Ability 3 Description,Ability 4 Name,Ability 4 Description,Ability 1 Unlock,Ability 2 Unlock,Ability 3 Unlock,Ability 4 Unlock
372, Basho , Green ,4,2, Balanced Type , Unidentified None ,765,441,375,1530,882,750,30, Deadraiser , Remove Heart Lock + Recover HP. , Counterattack , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
373, Dreamy Bard Basho , Green ,6,3, Balanced Type , Unidentified None ,1224,706,600,2142,1235,1050,40, Deadraiser , Remove Heart Lock + Recover HP. , Counterattack , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
374, Kagemaru , Blue ,4,2, Technical Type , Animal None ,675,437,310,1350,873,620,30, Smoke Bomb , Inflict Sleep on enemies to immobilize them for 3 turns. , Firecracker , Medium damage to 1 enemy. Effective against sleeping units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
375, Hoppity Ninja Kagemaru , Blue ,6,3, Technical Type , Animal None ,1080,699,496,1890,1222,868,40, Smoke Bomb ,"Inflict Sleep on enemies, immobilizing them for 3 turns.", Firecracker , Medium damage to 1 enemy. Effective against sleeping units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
376, Kanbei , Yellow ,6,3, Technical Type , Animal None ,741,1008,430,1482,2016,859,40, Forest Frenzy , Randomly convert five panels to Crash Panels (low cost) , Useless and Penniless , Fixed damage to 1 enemy regardless of DEF + Massive damage to 1 Coin type enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
377, Stag Slasher Kanbei , Yellow ,14,4, Technical Type , Animal None ,1185,1875,618,1905,3013,994,60, Forest Frenzy , Randomly convert five panels to Crash Panels (low cost) , Useless and Penniless , Fixed damage to 1 enemy regardless of DEF + Massive damage to 1 Coin type enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
378, Euler , Green ,30,4, Balanced Type , Human None ,1918,1164,1070,3835,2328,2140,60, Shell Grenade , Convert Red Panels to Bombs + Chance of Bombs for 1 turn. , Tempest Blade , Deal high damage to all enemies ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
379, Geometric Gunslinger Euler , Green ,40,5, Balanced Type , Human None ,3375,2273,2054,5273,3551,3210,80, Shell Grenade , Convert Red Panels to Bombs + Chance of Bombs for 1 turn. , Tempest Blade , Deal high damage to all enemies ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
380, Bahamut , Red ,10,3, Technical Type , Dragon None ,1165,833,414,2329,1666,827,40, Loveless Hunter , Greatly boost party REC for 3 turns + Convert Blue Panels to Hearts + Damages all enemies. , Heat Slash , Medium damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
381, Determined Lover Bahamut , Red ,20,4, Technical Type , Dragon None ,1863,1333,662,3260,2333,1158,60, Loveless Hunter , Greatly boost party REC for 3 turns + Convert Blue Panels to Hearts + Damages all enemies. , Heat Slash , Medium damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
382, Fiery Romancer Bahamut , Red ,30,5, Technical Type , Dragon None ,2608,1866,926,4192,2999,1488,80, Loveless Hunter , Greatly boost party REC for 3 turns + Convert Blue Panels to Hearts + Damages all enemies. , Heat Violence , Medium damage to 1 enemy. Ultra effect against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
383, Tipsy Serpent Yamata-no-Orochi , Green ,25,4, Stamina Type , Dragon None ,3030,1083,492,6059,2165,984,60, Gimme More! , Greatly boost party DEF for 3 turns + Lowers ATK + Performs a massive counter. , Drunken Revelry , Medium damage to 1 enemy + Low boost to all unit DEF for 1 turn ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
384, Drunk Dragon Yamata-no-Orochi , Green ,35,5, Stamina Type , Dragon None ,4847,1732,788,7675,2742,1247,80, Gimme More! , Greatly boost party DEF for 3 turns + Lowers ATK + Performs a massive counter. , Peak Debauchery , Medium damage to 1 enemy + Medium boost to all unit DEF for 1 turn ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
385, Tidal Escapist Leviathan , Blue ,25,4, Balanced Type , Dragon None ,1833,1516,717,3666,3032,1434,60, Cataract Wave , Enhance existing Crash Panels + Spawn 3 Crash Panels (L) at random. , Rainstorm , Deal damage to all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
386, Surging Seabeast Leviathan , Blue ,35,5, Balanced Type , Dragon None ,2933,2426,1148,4643,3840,1817,80, Cataract Wave , Enhance existing Crash Panels + Spawn 3 Crash Panels (L) at random. , Absolute Reign , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
387, Sphinx , Yellow ,10,3, Recovery Type , Animal None ,784,520,968,1568,1040,1936,40, Sweet and Spice , Boost party DEF/REC massively for 3 turns + Recover low HP. , Angelic Heart , Recover medium HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
388, Divine Sweetheart Sphinx , Yellow ,20,4, Recovery Type , Animal None ,1254,832,1549,2195,1456,2711,60, Sweet and Spice , Boost party DEF/REC massively for 3 turns + Recover low HP. , Angelic Heart , Recover medium HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
389, Charm Offensive Princess Sphinx , Yellow ,30,5, Recovery Type , Animal None ,1756,1165,2169,2822,1872,3485,80, Sweet and Spice , Boost party DEF/REC massively for 3 turns + Recover low HP. , Venus Heart , Recover high HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
390, Daring Traveler Thumbelina , Red ,25,4, Recovery Type , Human Mech ,1255,886,1536,2510,1772,3071,60, Ye Olde Glory , Remove Heart Lock + Recover high HP + Damages all enemies , Crimson Absorption , Low damage to 1 enemy + Recover medium HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
391, Winged Nomad Thumbelina , Red ,35,5, Recovery Type , Human Mech ,2030,1560,2569,3215,2469,4067,80, Ye Olde Glory , Remove Heart Lock + Recover high HP + Damages all enemies , Teeny Tiny Heart , Medium damage to 1 enemy + Recover medium HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
392, Peter Pan , Green ,10,3, Offense Type , Human Mech ,1079,968,404,2157,1936,807,40, Swashbuckler's Reverie ,"Deal high Green damage to 1 enemy, recovering 10% of damage dealt as HP.", Green Affinity , Medium damage to all enemies + Low boost to Green unit ATK for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
393, Shadow Stitcher Peter Pan , Green ,20,4, Offense Type , Human Mech ,1918,1579,645,3356,2764,1129,60, Swashbuckler's Reverie ,"Deal high Green damage to 1 enemy, recovering 10% of damage dealt as HP.", Green Affinity , Medium damage to all enemies + Low boost to Green unit ATK for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
394, Perpetual Prankster Peter Pan , Green ,30,5, Offense Type , Human Mech ,2819,2385,1024,4530,3832,1645,80, Swashbuckler's Reverie ,"Deal high Green damage to 1 enemy, recovering 10% of damage dealt as HP.", Brave Dreamer , High damage to all enemies + Low boost to Green unit ATK for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
395, Otohime , Blue ,10,3, Stamina Type , Human Mech ,1704,619,430,3408,1237,859,40, Stately Hubris , Greatly boost Blue unit ATK/DEF for 3 turns + Cure Darkness. , Insolent Strike ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
396, Dragon Arsenal Otohime , Blue ,20,4, Stamina Type , Human Mech ,2999,990,749,5248,1732,1310,60, Stately Hubris , Greatly boost Blue unit ATK/DEF for 3 turns + Cure Darkness. , Insolent Strike ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
397, Forbidden Box Otohime , Blue ,30,5, Stamina Type , Human Mech ,4358,1385,1070,7004,2227,1719,80, Open At Your Peril , Massive boost to Blue unit ATK/DEF for 3 turns + Cure Darkness. , Violent Deluge ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
398, Hansel & Gretel , Yellow ,25,4, Balanced Type , Human Mech ,1728,1125,1013,3455,2250,2026,60, Late Night Snack , Reduce damage by 50% for 1 turn + Easy Crash Panel spawning for 4 turns (big boost). , Human Crusher , Low damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
399, Dear Siblings Hansel & Gretel , Yellow ,35,5, Balanced Type , Human Mech ,2764,2034,1897,4376,3220,3003,80, Late Night Snack , Reduce damage by 50% for 1 turn + Easy Crash Panel spawning for 4 turns (big boost). , Revenant Tear , Medium damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
400, Fenrir , Red ,10,3, Offense Type , Animal None ,1275,1063,381,2550,2126,761,40, Prominent Heat ,"For 3 turns, adds 1 tap per turn for Red units + Boost ATK/REC.", Crimson Beast , Low damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
401, Chrome Wolf Fenrir , Red ,20,4, Offense Type , Animal None ,2040,1701,609,3570,2977,1065,60, Prominent Heat ,"For 3 turns, adds 1 tap per turn for Red units + Boost ATK/REC.", Crimson Beast , Low damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
402, Divine Disaster Fenrir , Red ,30,5, Offense Type , Animal None ,2856,2382,852,4590,3828,1370,80, Meteor Inferno ,"For 3 turns, adds 1 tap per turn for Red units + Greatly boost ATK/REC.", Blazing Beast , Medium damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
403, Green-Eyed Ambush Yatagarasu , Green ,25,4, Balanced Type , Animal None ,1913,1213,844,3825,2426,1688,60, Stakeout Tactics , Remove active counters + Massive Green damage to 1 enemy (super effective against active counters) , Double Round , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
404, Divine-Eyed Pouncer Yatagarasu , Green ,35,5, Balanced Type , Animal None ,3305,2290,1458,5233,3625,2309,80, Stakeout Tactics , Remove active counters + Massive Green damage to 1 enemy (super effective against active counters) , Double Round , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
405, Echidna , Blue ,10,3, Technical Type , Animal None ,1125,728,517,2250,1455,1033,40, Sea Beloved , Easy Crash Panel spawning for 4 turns + Convert Hearts to Blue Panels. , Calamity Flood , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
406, Smirking Serpent Echidna , Blue ,20,4, Technical Type , Animal None ,1800,1164,826,3150,2037,1446,60, Sea Beloved , Easy Crash Panel spawning for 4 turns + Convert Hearts to Blue Panels. , Calamity Flood , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
407, Mesmerizing Missile Echidna , Blue ,30,5, Technical Type , Animal None ,2520,1630,1157,4050,2620,1859,80, Sea Beloved , Easy Crash Panel spawning for 4 turns + Convert Hearts to Blue Panels. , Calamity Tempest , Massive damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
408, Imperial Devil Astaroth , Yellow ,25,4, Offense Type , Deity None ,1764,1542,647,3528,3083,1294,60, Sparkly Blitz ,"Reduce enemy DEF by 50% for 1 turn + Deal 5,000 fixed damage to all enemies.", Electric Discharge , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
409, Clairvoyant Emperor Astaroth , Yellow ,35,5, Offense Type , Deity None ,3415,2530,1222,5407,4007,1934,80, Impulse Coffin ,"Nullifies enemy DEF for 1 turn + Deal 10,000 fixed damage to all enemies.", Electric Discharge , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
410, Faraday , Yellow ,30,4, Balanced Type , Human None ,2101,1356,1189,4201,2712,2378,60, Pulse Induction , Spawn 2 random Bombs + Chance front unit Crash Panels drop 1 turn. , Lightning Rod , High damage to 1 enemy + Fixed damage to 1 enemy regardless of DEF. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
411, Electro Pioneer Faraday , Yellow ,40,5, Balanced Type , Human None ,3361,2169,1902,5251,3390,2972,80, Pulse Induction , Spawn 2 random Bombs + Chance front unit Crash Panels drop 1 turn. , Lightning Rod , High damage to 1 enemy + Fixed damage to 1 enemy regardless of DEF. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
412, Light Year , Yellow ,4,2, Recovery Type , Unidentified None ,588,355,538,1176,709,1076,30, Why? ...Why not?! , Convert Yellow Panels to Hearts + Cure Virus. , Groove it to the MUSIC! , Recover high HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
413, Fanatical Jizo Light Year , Yellow ,6,3, Recovery Type , Unidentified None ,941,567,861,1646,993,1506,40, Why? ...Why not?! , Convert Yellow Panels to Hearts + Cure Virus. , Groove it to the MUSIC! , Recover high HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
414, Fire Million Duck , Red ,99,6, Enhance Mat. , Unidentified None ,200,200,200,200,200,200,1, 7 Million DLs Thanks to you! , Use this as enhancing material to gain one million EXP or sell it for one million Bits! , A big thanks! ,"No effect, but thanks for 7MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
415, Forest Million Duck , Green ,99,6, Enhance Mat. , Unidentified None ,200,200,200,200,200,200,1, 7 Million DLs Thanks to you! , Use this as enhancing material to gain one million EXP or sell it for one million Bits! , A big thanks! ,"No effect, but thanks for 7MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
416, Aqua Million Duck , Blue ,99,6, Enhance Mat. , Unidentified None ,200,200,200,200,200,200,1, 7 Million DLs Thanks to you! , Use this as enhancing material to gain one million EXP or sell it for one million Bits! , A big thanks! ,"No effect, but thanks for 7MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
417, Thunder Million Duck , Yellow ,99,6, Enhance Mat. , Unidentified None ,200,200,200,200,200,200,1, 7 Million DLs Thanks to you! , Use this as enhancing material to gain one million EXP or sell it for one million Bits! , A big thanks! ,"No effect, but thanks for 7MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
418, Urashima , Red ,17,4, Stamina Type , Human None ,1977,949,586,3953,1897,1171,60, Restorative Shimmer , Deal high Red damage to all enemies + Remove Virus ailment. , System Cracking , Low damage to all enemies. Effective against Mechs. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
419, Palace Hacker Urashima , Red ,26,5, Stamina Type , Human None ,3162,1517,937,5179,2485,1534,80, Restorative Shimmer , Deal high Red damage to all enemies + Remove Virus ailment. , System Injection , Medium damage to all enemies. Effective against Mechs. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
420, Kaede , Green ,17,4, Recovery Type , Human None ,1112,659,1102,2224,1317,2203,60, Solitary Pursuit , Massive boost to Green unit REC for 3 turns + Convert Green Panels to Hearts. , Secret Hearts , Low damage to 1 enemy + Recover high HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
421, Graffiti Rebel Kaede , Green ,26,5, Recovery Type , Human None ,1957,1053,2080,3206,1725,3406,80, Solitary Pursuit , Massive boost to Green unit REC for 3 turns + Convert Green Panels to Hearts. , Secret Hearts , Low damage to 1 enemy + Recover high HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
422, Sugarful , Blue ,17,4, Balanced Type , Human None ,1363,844,792,2726,1688,1583,60, Sugarlicious Magic , Slightly boost Blue unit ATK for 3 turns + Slightly lowers enemy DEF + Convert Hearts to Blue Panels. , Candy Bomb , Low damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
423, Tricks 'n' Treats Sugarful , Blue ,26,5, Balanced Type , Human None ,2442,1529,1393,4001,2504,2281,80, Sugarlicious Magic , Slightly boost Blue unit ATK for 3 turns + Slightly lowers enemy DEF + Convert Hearts to Blue Panels. , Poppin' Rocks , Medium damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
424, Hook , Yellow ,17,4, Offense Type , Human None ,1336,1157,525,2671,2314,1050,60, Rondo of Claws ,"Nullifies enemy DEF to deal 3,000 fixed damage to all enemies (low cost).", Cutlass Cleave , Medium damage to all enemies. Ultra effect against Unidentified types. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
425, Wrathful Captain Hook , Yellow ,26,5, Offense Type , Human None ,2137,2092,672,3501,3426,1101,80, Rondo of Claws ,"Nullifies enemy DEF to deal 3,000 fixed damage to all enemies (low cost).", Cutlass Cleave , Medium damage to all enemies. Ultra effect against Unidentified types. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
426, Musashi Miyamoto , Yellow ,20,4, Offense Type , Human None ,1612,1397,634,3224,2793,1267,60, Mysterious Miracle , Greatly boost player's ATK for 3 turns + Spawn 3 Crash Panels (L) at random. , Flash Anchor , Launches highly effective attack on: 1 Human + 1 Dragon ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
427, Sword Whisperer Musashi , Yellow ,30,5, Offense Type , Human None ,2837,2413,1115,4560,3878,1792,80, Mysterious Miracle , Greatly boost player's ATK for 3 turns + Spawn 3 Crash Panels (L) at random. , Flash Anchor , Launches highly effective attack on: 1 Human + 1 Dragon ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
428, Red Dum & Dee , Red ,99,5, Awakening Mat. , Unidentified None ,25,8,6,25,8,6,1, Awakening Material , Use this as awakening material to awaken a specific unit. , None , None ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
429, Blue Dum & Dee , Blue ,99,5, Awakening Mat. , Unidentified None ,25,8,7,25,8,7,1, Awakening Material , Use this as awakening material to awaken a specific unit. , None , None ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
430, Green Dum & Dee , Green ,99,5, Awakening Mat. , Unidentified None ,26,8,7,26,8,7,1, Awakening Material , Use this as awakening material to awaken a specific unit. , None , None ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
431, Yellow Dum & Dee , Yellow ,99,5, Awakening Mat. , Unidentified None ,25,8,7,25,8,7,1, Awakening Material , Use this as awakening material to awaken a specific unit. , None , None ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
432, Qilin , Yellow ,25,4, Balanced Type , Deity None ,1764,1159,966,3528,2318,1932,60, Voltic Cannon , Reduce 1 enemy's remaining HP by 20%. , Charged Flash , Medium damage to 1 enemy + Fixed damage to 1 enemy regardless of DEF. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
433, Rare Mythical Beast Qilin , Yellow ,35,5, Balanced Type , Deity None ,2964,2225,1669,4692,3523,2642,80, Voltic Ray , Reduce 1 enemy's remaining HP by 40%. , Charged Flash - Converse , High damage to 1 enemy + Fixed damage to 1 enemy regardless of DEF. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
434, D.R.T.H. , Red ,25,4, Balanced Type , Human None ,1851,1273,1121,3701,2545,2241,60, Red Arrangement , Convert Blue Panels to Red + Convert Timer/Junk Panels to large Bombs. , Salem Gun , Damages 1 enemy (effective against Humans) + Low ATK boost. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
435, Recon Bomber D.R.T.H. , Red ,35,5, Balanced Type , Human None ,2989,2090,1840,4733,3310,2914,80, Red Arrangement , Convert Blue Panels to Red + Convert Timer/Junk Panels to large Bombs. , Salem Gun , Damages 1 enemy (effective against Humans) + Low ATK boost. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
436, Kakashi , Green ,10,3, Technical Type , Human Mech ,1079,721,602,2157,1441,1204,40, Ranged Strike , Lowers enemy DEF for 3 turns + Greatly boost Green unit ATK/DEF. , Green Flash , Medium damage to 1 enemy. Effective against Yellow units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
437, Oblivious Kakashi , Green ,20,4, Technical Type , Human Mech ,1726,1153,963,3020,2017,1685,60, Ranged Strike , Lowers enemy DEF for 3 turns + Greatly boost Green unit ATK/DEF. , Green Flash , Medium damage to 1 enemy. Effective against Yellow units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
438, Restored Memory Kakashi , Green ,30,5, Technical Type , Human Mech ,2537,1614,1375,4077,2593,2210,80, All-Round Strike , Lowers enemy DEF for 3 turns + Massively boost Green unit ATK/DEF. , Wicker Man , Medium damage to 1 enemy. Effective against Yellow units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
439, Tinrobot , Blue ,10,3, Offense Type , Mech None ,1375,1027,299,2750,2053,598,40, Blue Impact , Massive Blue damage to 1 enemy. , Frenzied Overdrive ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
440, Upgraded Tinrobot , Blue ,20,4, Offense Type , Mech None ,2200,1642,478,3850,2874,837,60, Blue Impact , Massive Blue damage to 1 enemy. , Frenzied Overdrive ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
441, Heart-seeker Tinrobot , Blue ,30,5, Offense Type , Mech None ,3080,2190,670,4950,3519,1076,80, Gigantic Impact ,"Limits player to 1 tap for 3 turns, but deals immense Blue damage to 1 enemy.", Frenzied Overdrive ,"High damage to 1 enemy. The higher the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
442, Lionheart , Yellow ,25,4, Stamina Type , Animal None ,2665,1243,477,5329,2486,954,60, Brave Advance , Massive boost to Yellow unit ATK/DEF for 3 turns + Greatly enhances Crash Panels already spawned. , Wild Crow , Medium damage to all enemies. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
443, Prideful Pouncer Lionheart , Yellow ,35,5, Stamina Type , Animal None ,4263,1989,764,6750,3149,1209,80, Brave Advance , Massive boost to Yellow unit ATK/DEF for 3 turns + Greatly enhances Crash Panels already spawned. , Carnival Beast , Medium damage to all enemies. Ultra effect against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
444, Fire Million Duck , Red ,99,6, Enhance Mat. , Unidentified None ,400,400,400,400,400,400,1, 8 Million Downloads! , Thank you! Use this as enhancing material to gain one million EXP or sell it for one million Bits. , A Big Thanks! ,"No effect, but thanks for 8MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
445, Forest Million Duck , Green ,99,6, Enhance Mat. , Unidentified None ,400,400,400,400,400,400,1, 8 Million Downloads! , Thank you! Use this as enhancing material to gain one million EXP or sell it for one million Bits. , A Big Thanks! ,"No effect, but thanks for 8MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
446, Aqua Million Duck , Blue ,99,6, Enhance Mat. , Unidentified None ,400,400,400,400,400,400,1, 8 Million Downloads! , Thank you! Use this as enhancing material to gain one million EXP or sell it for one million Bits. , A Big Thanks! ,"No effect, but thanks for 8MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
447, Thunder Million Duck , Yellow ,99,6, Enhance Mat. , Unidentified None ,400,400,400,400,400,400,1, 8 Million Downloads! , Thank you! Use this as enhancing material to gain one million EXP or sell it for one million Bits. , A Big Thanks! ,"No effect, but thanks for 8MM downloads!",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
451, Odin Silhouette 2 , Blue ,28,5, Balanced Type , Human None ,1998,1448,928,3995,2895,1855,80, My plaything! ,50283, None , None ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
452, Feisty Fox Ezo , Red ,17,4, Balanced Type , Animal None ,1450,976,640,2900,1952,1279,60, Explosive Sword , Deal more damage the lower your party HP (high damage). , Survival of the Fittest , Low damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
453, Sharp-Tailed Fox Ezo , Red ,26,5, Balanced Type , Animal None ,2320,1749,1146,3800,2865,1877,80, Explosive Flame Sword , Deal more damage the lower your party HP (massive damage). , Survival of the Fittest - Limit , Low damage to 1 enemy. Ultra effect against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
454, Tag-Team Lessa & Gigan , Green ,17,4, Stamina Type , Human Mech ,2218,947,424,4435,1894,847,60, CP Combo , No counters + High dmg. 1 enemy (super effect if no counters) + High boost party DEF 3 trn. , Rush Impact , Medium damage to 1 enemy + High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
455, City Levelers Lessa & Gigan , Green ,26,5, Stamina Type , Human Mech ,3548,1515,678,5811,2482,1110,80, CP Combo , No counters + High dmg. 1 enemy (super effect if no counters) + High boost party DEF 3 trn. , Dual Impact , Medium damage to 1 enemy + Massive damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
456, Fearless Sniper Yuzuru , Blue ,17,4, Technical Type , Human None ,1227,988,712,2453,1975,1424,60, Ballistic Power , Massive boost to Blue unit ATK for 3 turns + Convert Yellow Panels to Blue. , Lock On , Medium damage to all enemies. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
457, Supersonic Archer Yuzuru , Blue ,26,5, Technical Type , Human None ,1963,1580,1139,3215,2588,1866,80, Ballistic Power , Massive boost to Blue unit ATK for 3 turns + Convert Yellow Panels to Blue. , Lock On , Medium damage to all enemies. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
458, Tempest Dragon Sugaru , Yellow ,17,4, Stamina Type , Dragon None ,2370,937,308,4739,1873,615,60, Cry of Courage , Easy Crash Panel spawn and massively boost Yellow unit ATK for 3 turns. , God-Eater Lightning , Low damage to 1 enemy. Effective against Deities. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
459, Spinner of Vortexes Sugaru , Yellow ,26,5, Stamina Type , Dragon None ,3791,1499,492,6210,2455,806,80, Cry of Courage , Easy Crash Panel spawn and massively boost Yellow unit ATK for 3 turns. , Major God-Eater Lightning , Low damage to 1 enemy. High effect against Deities. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
460, Oz , Green ,20,4, Technical Type , Human None ,1661,1284,927,3322,2567,1854,60, Imaginative Figments , Greatly boost party ATK/REC for 3 turns + Spawn 4 Junk Panels at random. , Twister Magic , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
461, Grand Illusionist Oz , Green ,30,5, Technical Type , Human None ,2658,2054,1483,4271,3301,2383,80, Vague Speculation , Massive boost to party ATK/REC for 3 turns + Spawn 4 Junk Panels at random. , Twister Magic , Medium damage to 1 enemy twice. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
